39  3.4137e+08
40  3.3042e+08
1  1.7979e+09
2  1.9659e+09
3  2.0571e+09
4  2.0873e+09
5  2.0582e+09
6  1.9878e+09
7  1.9040e+09
8  1.8105e+09
9  1.7120e+09
10  1.6254e+09
11  1.5652e+09
12  1.4361e+09
13  1.3343e+09
14  1.2455e+09
15  1.1774e+09
16  1.1377e+09
17  1.1002e+09
18  1.0703e+09
19  1.0437e+09
20  1.0122e+09
21  9.9376e+08
22  9.4842e+08
23  8.7922e+08
24  8.1476e+08
25  7.5780e+08
26  7.0727e+08
27  6.7184e+08
28  6.4664e+08
29  6.1472e+08
30  5.7218e+08
31  5.3089e+08
32  4.8084e+08
33  4.4784e+08
34  4.2217e+08
35  4.0549e+08
36  3.8928e+08
37  3.7654e+08
38  3.7508e+08
39  3.7141e+08
40  3.7300e+08
1  1.4302e+09
2  1.5689e+09
3  1.6601e+09
4  1.7028e+09
5  1.7016e+09
6  1.6749e+09
7  1.6251e+09
8  1.5666e+09
9  1.5000e+09
10  1.4361e+09
11  1.3871e+09
12  1.2759e+09
13  1.1762e+09
14  1.1004e+09
15  1.0445e+09
16  9.9954e+08
17  9.6510e+08
18  9.3972e+08
19  9.1196e+08
20  8.9153e+08
21  8.7687e+08
22  8.3434e+08
23  7.8382e+08
24  7.3282e+08
25  6.7671e+08
26  6.4107e+08
27  6.0051e+08
28  5.8379e+08
29  5.4906e+08
30  5.0350e+08
31  4.6702e+08
32  4.2151e+08
33  3.8762e+08
34  3.6769e+08
35  3.4414e+08
36  3.3362e+08
37  3.3081e+08
38  3.3278e+08
39  3.2470e+08
40  3.1952e+08
1  1.6992e+09
2  1.8504e+09
3  1.9476e+09
4  1.9695e+09
5  1.9442e+09
6  1.8874e+09
7  1.8053e+09
8  1.7357e+09
9  1.6503e+09
10  1.5647e+09
11  1.4987e+09
12  1.3673e+09
13  1.2554e+09
14  1.1594e+09
15  1.0835e+09
16  1.0360e+09
17  9.9376e+08
18  9.5260e+08
19  9.1571e+08
20  8.8201e+08
21  8.4635e+08
22  7.9422e+08
23  7.3314e+08
24  6.8134e+08
25  6.2999e+08
26  5.9149e+08
27  5.6629e+08
28  5.4586e+08
29  5.1689e+08
30  4.8144e+08
31  4.4522e+08
32  4.0671e+08
33  3.7950e+08
34  3.5788e+08
35  3.4675e+08
36  3.4003e+08
37  3.3501e+08
38  3.3458e+08
39  3.2663e+08
40  3.2062e+08
1  1.9756e+09
2  2.1639e+09
3  2.2790e+09
4  2.3119e+09
5  2.2791e+09
6  2.2042e+09
7  2.0983e+09
8  1.9792e+09
9  1.8651e+09
10  1.7556e+09
11  1.6671e+09
12  1.5193e+09
13  1.3872e+09
14  1.2781e+09
15  1.2056e+09
16  1.1501e+09
17  1.1036e+09
18  1.0724e+09
19  1.0379e+09
20  1.0020e+09
21  9.7810e+08
22  9.2697e+08
23  8.6049e+08
24  7.9086e+08
25  7.3019e+08
26  6.8278e+08
27  6.5224e+08
28  6.2816e+08
29  5.9997e+08
30  5.6113e+08
31  5.2226e+08
32  4.7719e+08
33  4.5145e+08
34  4.3755e+08
35  4.2849e+08
36  4.1901e+08
37  4.1344e+08
38  4.1408e+08
39  4.0523e+08
40  3.9356e+08
1  1.5155e+09
2  1.6695e+09
3  1.7611e+09
4  1.7903e+09
5  1.7643e+09
6  1.7120e+09
7  1.6488e+09
8  1.5773e+09
9  1.5022e+09
10  1.4286e+09
11  1.3660e+09
12  1.2401e+09
13  1.1224e+09
14  1.0439e+09
15  9.8198e+08
16  9.3044e+08
17  8.9830e+08
18  8.8189e+08
19  8.6639e+08
20  8.5342e+08
21  8.3923e+08
22  7.9632e+08
23  7.5191e+08
24  7.0166e+08
25  6.5597e+08
26  6.1719e+08
27  5.9155e+08
28  5.7259e+08
29  5.4773e+08
30  5.1049e+08
31  4.8259e+08
32  4.4083e+08
33  4.1578e+08
34  3.9636e+08
35  3.8486e+08
36  3.8143e+08
37  3.7990e+08
38  3.8186e+08
39  3.7452e+08
40  3.6673e+08
1  2.0866e+09
2  2.2684e+09
3  2.3737e+09
4  2.4162e+09
5  2.3914e+09
6  2.3275e+09
7  2.2434e+09
8  2.1434e+09
9  2.0290e+09
10  1.9240e+09
11  1.8363e+09
12  1.6714e+09
13  1.5166e+09
14  1.3847e+09
15  1.2816e+09
16  1.2082e+09
17  1.1594e+09
18  1.1078e+09
19  1.0785e+09
20  1.0454e+09
21  1.0199e+09
22  9.6853e+08
23  9.0462e+08
24  8.4482e+08
25  7.8239e+08
26  7.3505e+08
27  6.9409e+08
28  6.6405e+08
29  6.2570e+08
30  5.8031e+08
31  5.3798e+08
32  4.8236e+08
33  4.4222e+08
34  4.1092e+08
35  3.8511e+08
36  3.6926e+08
37  3.5861e+08
38  3.5354e+08
39  3.4371e+08
40  3.3409e+08
1  1.9982e+09
2  2.1702e+09
3  2.2581e+09
4  2.2575e+09
5  2.2032e+09
6  2.1103e+09
7  2.0066e+09
8  1.8942e+09
9  1.7955e+09
10  1.6994e+09
11  1.6254e+09
12  1.4895e+09
13  1.3555e+09
14  1.2576e+09
15  1.1755e+09
16  1.1131e+09
17  1.0714e+09
18  1.0344e+09
19  1.0010e+09
20  9.7523e+08
21  9.5672e+08
22  9.0829e+08
23  8.4139e+08
24  7.8258e+08
25  7.2696e+08
26  6.8671e+08
27  6.5699e+08
28  6.3514e+08
29  6.0486e+08
30  5.6744e+08
31  5.2964e+08
32  4.8754e+08
33  4.6026e+08
