         0.0150 0.0168 0.0341 0.0379 0.0801 0.0860 0.1115 0.1990 0.2483 0.2570 0.5263 0.5263 0.5263 0.5263          0.0332 0.0970 0.1217 0.1292 0.0514 0.0201 0.0057 0.0021 0.0014 0.0022 0.0069 0.0069 0.0069 0.0069
         0.0130 0.0138 0.0235 0.0329 0.0585 0.0832 0.1258 0.1257 0.1257 0.3072 0.3886 0.3886 0.3886 0.3886          0.0264 0.0662 0.0709 0.1097 0.0478 0.0188 0.0071 0.0022 0.0011 0.0014 0.0043 0.0043 0.0043 0.0043
         0.0112 0.0132 0.0246 0.0246 0.0481 0.0812 0.0968 0.1270 0.2449 0.2448 0.2944 0.2944 0.2944 0.2944          0.0231 0.0729 0.0785 0.0887 0.0598 0.0165 0.0050 0.0019 0.0011 0.0014 0.0041 0.0041 0.0041 0.0041
         0.0116 0.0145 0.0221 0.0339 0.0550 0.0720 0.0913 0.1131 0.1961 0.3625 0.3624 0.3624 0.3624 0.3624          0.0251 0.0766 0.0945 0.1052 0.0574 0.0165 0.0034 0.0011 0.0009 0.0015 0.0053 0.0053 0.0053 0.0053
         0.0114 0.0167 0.0241 0.0408 0.0576 0.0933 0.0933 0.1450 0.2582 0.3129 0.3770 0.3770 0.3770 0.3770          0.0281 0.0770 0.0969 0.1067 0.0531 0.0241 0.0064 0.0018 0.0010 0.0015 0.0050 0.0050 0.0050 0.0050
         0.0142 0.0173 0.0317 0.0352 0.0658 0.0903 0.1231 0.1707 0.3144 0.3889 0.3887 0.3887 0.3887 0.3887          0.0283 0.0753 0.0904 0.1245 0.0634 0.0173 0.0049 0.0020 0.0014 0.0021 0.0062 0.0062 0.0062 0.0062
         0.0105 0.0156 0.0257 0.0325 0.0678 0.0713 0.1000 0.1688 0.1687 0.1687 0.3633 0.3633 0.3633 0.3633          0.0205 0.0642 0.0842 0.0760 0.0410 0.0087 0.0023 0.0010 0.0008 0.0014 0.0045 0.0045 0.0045 0.0045
         0.0113 0.0139 0.0279 0.0350 0.0426 0.0844 0.0900 0.1334 0.1808 0.3090 0.3803 0.3803 0.3803 0.3803          0.0257 0.0686 0.0812 0.0907 0.0608 0.0155 0.0040 0.0015 0.0010 0.0016 0.0048 0.0048 0.0048 0.0048
         0.0168 0.0168 0.0367 0.0375 0.0662 0.1125 0.1125 0.1125 0.2829 0.3596 0.3593 0.3593 0.3593 0.3593          0.0360 0.0877 0.1074 0.1097 0.0536 0.0157 0.0041 0.0014 0.0009 0.0013 0.0045 0.0045 0.0045 0.0045
         0.0128 0.0128 0.0311 0.0357 0.0696 0.0865 0.1172 0.2038 0.2403 0.2682 0.4001 0.4001 0.4001 0.4001          0.0235 0.0613 0.0729 0.1098 0.0504 0.0157 0.0039 0.0013 0.0009 0.0014 0.0046 0.0046 0.0046 0.0046
         0.0129 0.0182 0.0290 0.0333 0.0597 0.0900 0.1164 0.1690 0.2027 0.3745 0.3777 0.3777 0.3777 0.3777          0.0283 0.0751 0.0863 0.1046 0.0519 0.0205 0.0063 0.0022 0.0013 0.0017 0.0051 0.0051 0.0051 0.0051
         0.0123 0.0142 0.0274 0.0348 0.0546 0.0786 0.0823 0.1108 0.1792 0.2730 0.2806 0.2806 0.2806 0.2806          0.0229 0.0753 0.0970 0.0993 0.0522 0.0185 0.0049 0.0015 0.0009 0.0012 0.0039 0.0039 0.0039 0.0039
         0.0099 0.0114 0.0256 0.0367 0.0476 0.0724 0.0724 0.1802 0.1801 0.2686 0.2685 0.2685 0.2685 0.2685          0.0245 0.0643 0.0806 0.0810 0.0558 0.0182 0.0041 0.0012 0.0007 0.0011 0.0035 0.0035 0.0035 0.0035
         0.0167 0.0235 0.0425 0.0515 0.0923 0.1054 0.1663 0.1663 0.1801 0.3827 0.4826 0.4826 0.4826 0.4826          0.0401 0.1205 0.1098 0.1570 0.0731 0.0158 0.0036 0.0014 0.0011 0.0020 0.0070 0.0070 0.0070 0.0070
